Id;Label;Type
ABERDEEN ASSET MANAGEMENT;ABERDEEN ASSET MANAGEMENT;Enterprise
ADMIRAL GROUP;ADMIRAL GROUP;Enterprise
AGGREKO;AGGREKO;Enterprise
AMEC ;AMEC ;Enterprise
ANGLO AMERICAN;ANGLO AMERICAN;Enterprise
ANTOFAGASTA;ANTOFAGASTA;Enterprise
ARM HOLDINGS;ARM HOLDINGS;Enterprise
ASHMORE GROUP PLC;ASHMORE GROUP PLC;Enterprise
ASSOCIATED BRITISH FOODS ;ASSOCIATED BRITISH FOODS ;Enterprise
ASTRAZENECA;ASTRAZENECA;Enterprise
AVIVA;AVIVA;Enterprise
BABCOCK INTERNATIONAL GROUP ;BABCOCK INTERNATIONAL GROUP ;Enterprise
BAE SYSTEMS;BAE SYSTEMS;Enterprise
BARCLAYS;BARCLAYS;Enterprise
BG GROUP;BG GROUP;Enterprise
BHP BILLITON;BHP BILLITON;Enterprise
BP;BP;Enterprise
BRITISH AMERICAN TOBACCO;BRITISH AMERICAN TOBACCO;Enterprise
BRITISH SKY BROADCASTING GROUP;BRITISH SKY BROADCASTING GROUP;Enterprise
BT GROUP;BT GROUP;Enterprise
BUNZL;BUNZL;Enterprise
BURBERRY GROUP;BURBERRY GROUP;Enterprise
CAPITA GROUP;CAPITA GROUP;Enterprise
CAPITAL SHOPPING CENTRES GROUP;CAPITAL SHOPPING CENTRES GROUP;Enterprise
CARNIVAL;CARNIVAL;Enterprise
CENTRICA;CENTRICA;Enterprise
COMPASS GROUP;COMPASS GROUP;Enterprise
CRH;CRH;Enterprise
CRODA INTERNATIONAL;CRODA INTERNATIONAL;Enterprise
DIAGEO;DIAGEO;Enterprise
EURASIAN NATURAL RESOURCES CORPORATION;EURASIAN NATURAL RESOURCES CORPORATION;Enterprise
EVRAZ PLC;EVRAZ PLC;Enterprise
EXPERIAN;EXPERIAN;Enterprise
FRESNILLO;FRESNILLO;Enterprise
G4S;G4S;Enterprise
GKN;GKN;Enterprise
GLAXOSMITHKLINE;GLAXOSMITHKLINE;Enterprise
GLENCORE INTERNATIONAL;GLENCORE INTERNATIONAL;Enterprise
HAMMERSON;HAMMERSON;Enterprise
HARGREAVES LANSDOWN;HARGREAVES LANSDOWN;Enterprise
HSBC;HSBC;Enterprise
ICAP;ICAP;Enterprise
IMI;IMI;Enterprise
IMPERIAL TOBACCO GROUP ;IMPERIAL TOBACCO GROUP ;Enterprise
INTERCONTINENTAL HOTELS GROUP;INTERCONTINENTAL HOTELS GROUP;Enterprise
INTERNATIONAL AIRLINES GROUP;INTERNATIONAL AIRLINES GROUP;Enterprise
INTERTEK  GROUP;INTERTEK  GROUP;Enterprise
ITV;ITV;Enterprise
J SAINSBURY;J SAINSBURY;Enterprise
JOHNSON MATTHEY;JOHNSON MATTHEY;Enterprise
KAZAKHMYS;KAZAKHMYS;Enterprise
KINGFISHER;KINGFISHER;Enterprise
LAND SECURITIES GROUP;LAND SECURITIES GROUP;Enterprise
LEGAL & GENERAL GROUP;LEGAL & GENERAL GROUP;Enterprise
LLOYDS BANKING GROUP;LLOYDS BANKING GROUP;Enterprise
MARKS AND SPENCER GROUP;MARKS AND SPENCER GROUP;Enterprise
MEGGITT;MEGGITT;Enterprise
NATIONAL GRID;NATIONAL GRID;Enterprise
NEXT;NEXT;Enterprise
OLD MUTUAL;OLD MUTUAL;Enterprise
PEARSON;PEARSON;Enterprise
PENNON;PENNON;Enterprise
PETROFAC INC.;PETROFAC INC.;Enterprise
POLYMETAL INTERNATIONAL;POLYMETAL INTERNATIONAL;Enterprise
PRUDENTIAL;PRUDENTIAL;Enterprise
RANDGOLD RESOURCES;RANDGOLD RESOURCES;Enterprise
RECKITT BENCKISER GROUP;RECKITT BENCKISER GROUP;Enterprise
REED ELSEVIER GROUP;REED ELSEVIER GROUP;Enterprise
RESOLUTION;RESOLUTION;Enterprise
REXAM;REXAM;Enterprise
RIO TINTO;RIO TINTO;Enterprise
ROLLS-ROYCE GROUP;ROLLS-ROYCE GROUP;Enterprise
ROYAL DUTCH SHELL;ROYAL DUTCH SHELL;Enterprise
RSA INSURANCE GROUP;RSA INSURANCE GROUP;Enterprise
SABMILLER;SABMILLER;Enterprise
SCHRODERS;SCHRODERS;Enterprise
SERCO GROUP;SERCO GROUP;Enterprise
SEVERN TRENT;SEVERN TRENT;Enterprise
SHIRE;SHIRE;Enterprise
SMITH & NEPHEW;SMITH & NEPHEW;Enterprise
SMITHS GROUP;SMITHS GROUP;Enterprise
SSE;SSE;Enterprise
STANDARD CHARTERED;STANDARD CHARTERED;Enterprise
STANDARD LIFE;STANDARD LIFE;Enterprise
TATE & LYLE;TATE & LYLE;Enterprise
TESCO;TESCO;Enterprise
THE BRITISH LAND COMPANY;THE BRITISH LAND COMPANY;Enterprise
THE ROYAL BANK OF SCOTLAND GROUP;THE ROYAL BANK OF SCOTLAND GROUP;Enterprise
THE SAGE GROUP;THE SAGE GROUP;Enterprise
THE WEIR GROUP;THE WEIR GROUP;Enterprise
TULLOW OIL;TULLOW OIL;Enterprise
UNILEVER;UNILEVER;Enterprise
UNITED UTILITIES GROUP;UNITED UTILITIES GROUP;Enterprise
VEDANTA RESOURCES;VEDANTA RESOURCES;Enterprise
VODAFONE GROUP;VODAFONE GROUP;Enterprise
WHITBREAD;WHITBREAD;Enterprise
WM MORRISON SUPERMARKETS;WM MORRISON SUPERMARKETS;Enterprise
WOLSELEY;WOLSELEY;Enterprise
WPP;WPP;Enterprise
XSTRATA;XSTRATA;Enterprise
GB;GB;Country
USDE;USDE;Country
NL;NL;Country
US;US;Country
AU;AU;Country
ZA;ZA;Country
FR;FR;Country
DE;DE;Country
IE;IE;Country
CA;CA;Country
JE;JE;Country
CN;CN;Country
HK;HK;Country
ES;ES;Country
LU;LU;Country
SE;SE;Country
IN;IN;Country
SG;SG;Country
KY;KY;Country
BR;BR;Country
IT;IT;Country
MX;MX;Country
CH;CH;Country
MY;MY;Country
VG;VG;Country
GG;GG;Country
BE;BE;Country
BM;BM;Country
RU;RU;Country
PL;PL;Country
CL;CL;Country
MU;MU;Country
JP;JP;Country
IM;IM;Country
TH;TH;Country
DK;DK;Country
PT;PT;Country
ZW;ZW;Country
AR;AR;Country
NZ;NZ;Country
NO;NO;Country
AT;AT;Country
AE;AE;Country
TR;TR;Country
PH;PH;Country
FI;FI;Country
KZ;KZ;Country
NG;NG;Country
ID;ID;Country
CZ;CZ;Country
CO;CO;Country
HU;HU;Country
KE;KE;Country
EG;EG;Country
PE;PE;Country
VE;VE;Country
KR;KR;Country
NA;NA;Country
PA;PA;Country
RO;RO;Country
TW;TW;Country
CY;CY;Country
GR;GR;Country
SK;SK;Country
IL;IL;Country
SA;SA;Country
BS;BS;Country
MA;MA;Country
ZM;ZM;Country
VN;VN;Country
TZ;TZ;Country
LK;LK;Country
UA;UA;Country
GI;GI;Country
BW;BW;Country
TT;TT;Country
UY;UY;Country
CD;CD;Country
MZ;MZ;Country
PK;PK;Country
CR;CR;Country
BB;BB;Country
MT;MT;Country
GH;GH;Country
MW;MW;Country
PR;PR;Country
BH;BH;Country
CI;CI;Country
EC;EC;Country
OM;OM;Country
LB;LB;Country
BG;BG;Country
DO;DO;Country
HN;HN;Country
UG;UG;Country
AN;AN;Country
SV;SV;Country
DZ;DZ;Country
GT;GT;Country
SZ;SZ;Country
TN;TN;Country
JM;JM;Country
BD;BD;Country
BO;BO;Country
CM;CM;Country
EE;EE;Country
QA;QA;Country
LV;LV;Country
PG;PG;Country
SN;SN;Country
LT;LT;Country
SI;SI;Country
HR;HR;Country
RS;RS;Country
AO;AO;Country
GN;GN;Country
LR;LR;Country
MN;MN;Country
MO;MO;Country
LC;LC;Country
ML;ML;Country
CK;CK;Country
LS;LS;Country
MG;MG;Country
BN;BN;Country
RE;RE;Country
GA;GA;Country
SL;SL;Country
MR;MR;Country
MC;MC;Country
NP;NP;Country
NI;NI;Country
IR;IR;Country
SC;SC;Country
PY;PY;Country
LI;LI;Country
NC;NC;Country
KH;KH;Country
CU;CU;Country
BA;BA;Country
KN;KN;Country
KW;KW;Country
JO;JO;Country
TG;TG;Country
AW;AW;Country
IS;IS;Country
AZ;AZ;Country
UZ;UZ;Country
GE;GE;Country
BF;BF;Country
FJ;FJ;Country
KP;KP;Country
MK;MK;Country
WS;WS;Country
ET;ET;Country
KG;KG;Country
GU;GU;Country
CV;CV;Country
AL;AL;Country
GM;GM;Country
AD;AD;Country
MD;MD;Country
RW;RW;Country
CG;CG;Country
BY;BY;Country
LY;LY;Country
DJ;DJ;Country
KO;KO;Country
NE;NE;Country
CF;CF;Country
SY;SY;Country
AI;AI;Country
FI ;FI ;Country
CW;CW;Country
YT;YT;Country
VI;VI;Country
SD;SD;Country
LA;LA;Country
ME;ME;Country
SB;SB;Country
PF;PF;Country
YE;YE;Country
BJ;BJ;Country
SS;SS;Country
UR;UR;Country
IQ;IQ;Country
UE;UE;Country
AG;AG;Country
MP;MP;Country
AM;AM;Country
SUR;SUR;Country
KM;KM;Country
TD;TD;Country
BT;BT;Country
GQ;GQ;Country
GY;GY;Country
DR;DR;Country
GL;GL;Country
GP;GP;Country
IC;IC;Country
TJ;TJ;Country
AF;AF;Country
ER;ER;Country
PS;PS;Country
TM;TM;Country
MV;MV;Country
